,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
829,1587,article,1047892,Carol L. Blinkerd and Chandrika  Rao,,,,Making DBMS Relevant to Non-majors,302--307,,6.0,"GIS, non-computer science majors, relational database",,J. Comput. Sci. Coll.,April 2005,20,4,,April,2005.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science usability education
833,1593,article,1384302,Sarah  Matzko and Timothy A. Davis,,,,A Graphics-based Approach to Data Structures,109--113,,5.0,"computer graphics, computer science education, curriculum issues, data structures, problem-based learning (pbl)",10.1145/1597849.1384302,SIGCSE Bull.,September 2008,40,3,,June,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
834,1594,article,1384302,Sarah  Matzko and Timothy A. Davis,,,,A Graphics-based Approach to Data Structures,109--113,,5.0,"computer graphics, computer science education, curriculum issues, data structures, problem-based learning (pbl)",10.1145/1384271.1384302,,,,,,,2008.0,,Proceedings of the 13th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '08,,978-1-60558-078-4,"Madrid, Spain",ACM,"New York, NY, USA",computer science usability education
840,1600,article,612011,Alexander A. Sherstov,,,,Distributed Visualization of Graph Algorithms,376--380,,5.0,"computer science education, distributed computing, graph algorithms, simulation and modeling, visualization",10.1145/792548.612011,SIGCSE Bull.,January 2003,35,1,,January,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
841,1601,article,612011,Alexander A. Sherstov,,,,Distributed Visualization of Graph Algorithms,376--380,,5.0,"computer science education, distributed computing, graph algorithms, simulation and modeling, visualization",10.1145/611892.612011,,,,,,,2003.0,,Proceedings of the 34th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '03,,1-58113-648-X,"Reno, Navada, USA",ACM,"New York, NY, USA",computer science usability education
851,1616,article,1216224,Mikko T. Siponen and Harri  Oinas-Kukkonen,,,,A Review of Information Security Issues and Respective Research Contributions,60--80,,21.0,computer science,10.1145/1216218.1216224,SIGMIS Database,February 2007,38,1,,February,2007.0,0095-0033,,,,,,ACM,"New York, NY, USA",computer science usability education
852,1618,article,1227417,Daniel  Frost,,,,Fourth Grade Computer Science,302--306,,5.0,"K-6 curriculum, VVLogo, fourth grade computer science, logo",10.1145/1227504.1227417,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
853,1619,article,1227417,Daniel  Frost,,,,Fourth Grade Computer Science,302--306,,5.0,"K-6 curriculum, VVLogo, fourth grade computer science, logo",10.1145/1227310.1227417,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science usability education
868,1645,article,222043,Philip  Bell and Elizabeth A. Davis and Marcia C. Linn,,,,The Knowledge Integration Environment: Theory and Design,14--21,,8.0,"K-12 educational technology, collaborative learning environments, computer learning environments, internet, networking, science education, scientific evidence",10.3115/222020.222043,,,,,,,1995.0,,The First International Conference on Computer Support for Collaborative Learning,CSCL '95,,0-8058-2243-7,"Indiana Univ., Bloomington, Indiana, USA",L. Erlbaum Associates Inc.,"Hillsdale, NJ, USA",computer science usability education
876,1659,article,1352221,Mark A. Holliday and J. Traynham Houston and E. Matthew Jones,,,,From Sockets and RMI to Web Services,236--240,,5.0,"computer science education, java remote method invocation, net-centric computing, sockets, web services",10.1145/1352322.1352221,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
877,1660,article,1352221,Mark A. Holliday and J. Traynham Houston and E. Matthew Jones,,,,From Sockets and RMI to Web Services,236--240,,5.0,"computer science education, java remote method invocation, net-centric computing, sockets, web services",10.1145/1352135.1352221,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science usability education
879,1663,article,2844585,Chrystalla  Mouza and Lori  Pollock and Kathleen  Pusecker and Kevin  Guidry and Ching-Yi  Yeh and James  Atlas and Terry  Harvey,,,,Implementation and Outcomes of a Three-Pronged Approach to Professional Development for CS Principles,66--71,,6.0,"computational thinking, cs education, cs principles, k12",10.1145/2839509.2844585,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computer science usability education
882,1671,article,1151686,Kerrie M. Miller and Geoffrey N. Dick,,,,Computer-based Collaboration in Student Work: Does a Preference for Using Technology Affect Performance?,35--41,,7.0,"collaboration, education",,,,,,,,2005.0,,Proceedings of the 2005 South East Asia Regional Computer Science Confederation (SEARCC) Conference - Volume 46,SEARCC '05,,1-920682-28-7,"Sydney, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science usability education
886,1676,article,1268820,Joseph  Distasio and Thomas  Way,,,,Inclusive Computer Science Education Using a Ready-made Computer Game Framework,116--120,,5.0,"artificial intelligence, computer graphics, computer science education, game programming, user interface design",10.1145/1269900.1268820,SIGCSE Bull.,September 2007,39,3,,June,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
887,1677,article,1268820,Joseph  Distasio and Thomas  Way,,,,Inclusive Computer Science Education Using a Ready-made Computer Game Framework,116--120,,5.0,"artificial intelligence, computer graphics, computer science education, game programming, user interface design",10.1145/1268784.1268820,,,,,,,2007.0,,Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '07,,978-1-59593-610-3,"Dundee, Scotland",ACM,"New York, NY, USA",computer science usability education
888,1686,article,961552,Bruria  Haberman and Ela  Lev and Dorothy  Langley,,,,Action Research As a Tool for Promoting Teacher Awareness of Students' Conceptual Understanding,144--148,,5.0,"computer science curriculum, in service teacher training, teacher change",10.1145/961290.961552,SIGCSE Bull.,September 2003,35,3,,June,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
889,1687,article,961552,Bruria  Haberman and Ela  Lev and Dorothy  Langley,,,,Action Research As a Tool for Promoting Teacher Awareness of Students' Conceptual Understanding,144--148,,5.0,"computer science curriculum, in service teacher training, teacher change",10.1145/961511.961552,,,,,,,2003.0,,Proceedings of the 8th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '03,,1-58113-672-2,"Thessaloniki, Greece",ACM,"New York, NY, USA",computer science usability education
893,1695,article,2723624,Marcelo  Worsley and Paulo  Blikstein,,,,Leveraging Multimodal Learning Analytics to Differentiate Student Learning Strategies,360--367,,8.0,"computational, constructionist, data mining, learning sciences",10.1145/2723576.2723624,,,,,,,2015.0,,Proceedings of the Fifth International Conference on Learning Analytics And Knowledge,LAK '15,,978-1-4503-3417-4,"Poughkeepsie, New York",ACM,"New York, NY, USA",computer science usability education
906,1718,article,223925,John  Karat and Tom  Dayton,,,,Practical Education for Improving Software Usability,162--169,,8.0,,10.1145/223904.223925,,,,,,,1995.0,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '95,,0-201-84705-1,"Denver, Colorado, USA",ACM Press/Addison-Wesley Publishing Co.,"New York, NY, USA",computer science usability education
907,1721,article,1121418,Eric  Larson,,,,An Undergraduate Course on Software Bug Detection Tools and Techniques,249--253,,5.0,"compilers, computer science education, computer security, software engineering, software testing, software verification",10.1145/1124706.1121418,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
908,1722,article,1121418,Eric  Larson,,,,An Undergraduate Course on Software Bug Detection Tools and Techniques,249--253,,5.0,"compilers, computer science education, computer security, software engineering, software testing, software verification",10.1145/1121341.1121418,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
909,1726,article,1141549,Marco  S&#225; and Lu&#237;s  Carri&#231;o,,,,Handheld Devices for Cooperative Educational Activities,1145--1149,,5.0,"PDAs, assessment, m-learning, mobility, questionnaires, usability",10.1145/1141277.1141549,,,,,,,2006.0,,Proceedings of the 2006 ACM Symposium on Applied Computing,SAC '06,,1-59593-108-2,"Dijon, France",ACM,"New York, NY, USA",computer science usability education
912,1731,article,1227324,Steve  Engels and Vivek  Lakshmanan and Michelle  Craig,,,,Plagiarism Detection Using Feature-based Neural Networks,34--38,,5.0,"cheating, features, introductory computer science, neural networks, plagiarism detection",10.1145/1227504.1227324,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
913,1732,article,1227324,Steve  Engels and Vivek  Lakshmanan and Michelle  Craig,,,,Plagiarism Detection Using Feature-based Neural Networks,34--38,,5.0,"cheating, features, introductory computer science, neural networks, plagiarism detection",10.1145/1227310.1227324,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science usability education
915,1736,article,2855353,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Assessment-driven Course Design Foundational Patterns,31:1--31:13,31.0,13.0,"assessment, education, educational patterns",10.1145/2855321.2855353,,,,,,,2015.0,,Proceedings of the 20th European Conference on Pattern Languages of Programs,EuroPLoP '15,,978-1-4503-3847-9,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computer science usability education
920,1742,article,1352275,"Antonio M. Lopez,Jr. and Kun  Zhang and Frederick G. Lopez",,,,Cultural Representations of Gender Among U. S. Computer Science Undergraduates: Statistical and Data Mining Results,407--411,,5.0,"computer science, culture, data mining, ethnicity, gender roles",10.1145/1352322.1352275,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
921,1743,article,1352275,"Antonio M. Lopez,Jr. and Kun  Zhang and Frederick G. Lopez",,,,Cultural Representations of Gender Among U. S. Computer Science Undergraduates: Statistical and Data Mining Results,407--411,,5.0,"computer science, culture, data mining, ethnicity, gender roles",10.1145/1352135.1352275,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science usability education
923,1745,article,1594402,Ulrich  Kiesm&#252;ller,,,,Diagnosing Learners&Rsquo; Problem-Solving Strategies Using Learning Environments with Algorithmic Problems in Secondary Education,17:1--17:26,17.0,26.0,"Kara, Secondary computer science education, algorithms, didactics of informatics, problem solving process, tool-based analysis",10.1145/1594399.1594402,Trans. Comput. Educ.,September 2009,9,3,,September,2009.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science usability education
933,1769,article,971307,Neha  Katira and Laurie  Williams and Eric  Wiebe and Carol  Miller and Suzanne  Balik and Ed  Gehringer,,,,On Understanding Compatibility of Student Pair Programmers,7--11,,5.0,"Myers Briggs, collaboration, compatibility, computer science classroom, pair programming",10.1145/1028174.971307,SIGCSE Bull.,March 2004,36,1,,March,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
934,1770,article,971307,Neha  Katira and Laurie  Williams and Eric  Wiebe and Carol  Miller and Suzanne  Balik and Ed  Gehringer,,,,On Understanding Compatibility of Student Pair Programmers,7--11,,5.0,"Myers Briggs, collaboration, compatibility, computer science classroom, pair programming",10.1145/971300.971307,,,,,,,2004.0,,Proceedings of the 35th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '04,,1-58113-798-2,"Norfolk, Virginia, USA",ACM,"New York, NY, USA",computer science usability education
941,1780,article,3081355,Jagmohan  Chauhan and Yining  Hu and Suranga  Seneviratne and Archan  Misra and Aruna  Seneviratne and Youngki  Lee,,,,BreathPrint: Breathing Acoustics-based User Authentication,278--291,,14.0,"authentication, breathing gestures, security, usability",10.1145/3081333.3081355,,,,,,,2017.0,,"Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",MobiSys '17,,978-1-4503-4928-4,"Niagara Falls, New York, USA",ACM,"New York, NY, USA",computer science usability education
946,1789,article,1595361,Ulrich  Kiesm&#252;ller,,,,Diagnosing Learners' Problem Solving Strategies Using Learning Environments with Algorithmic Problems in Secondary Education,16--24,,9.0,"Kara, algorithms, didactics of informatics, problem solving process, secondary computer science education, tool-based analysis",10.1145/1595356.1595361,,,,,,,2008.0,,Proceedings of the 8th International Conference on Computing Education Research,Koli '08,,978-1-60558-385-3,"Koli, Finland",ACM,"New York, NY, USA",computer science usability education
956,1809,article,1140194,A. T. Chamillard,,,,Using Student Performance Predictions in a Computer Science Curriculum,260--264,,5.0,"computer science curriculum, performance prediction, predictive modeling, student performance",10.1145/1140123.1140194,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
957,1810,article,1140194,A. T. Chamillard,,,,Using Student Performance Predictions in a Computer Science Curriculum,260--264,,5.0,"computer science curriculum, performance prediction, predictive modeling, student performance",10.1145/1140124.1140194,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computer science usability education
960,1814,article,1508990,Briana B. Morrison and Jon A. Preston,,,,Engagement: Gaming Throughout the Curriculum,342--346,,5.0,"computer game development, computer science education, digital games, game programming, introductory programming, student motivation",10.1145/1508865.1508990,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
961,1815,article,1508990,Briana B. Morrison and Jon A. Preston,,,,Engagement: Gaming Throughout the Curriculum,342--346,,5.0,"computer game development, computer science education, digital games, game programming, introductory programming, student motivation",10.1145/1539024.1508990,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
964,1820,article,1047421,Curt  Hill and Brian M. Slator and Lisa M. Daniels,,,,The Grader in ProgrammingLand,211--215,,5.0,"CS educational research, blended education, distance education, online instruction",10.1145/1047124.1047421,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
965,1821,article,1047421,Curt  Hill and Brian M. Slator and Lisa M. Daniels,,,,The Grader in ProgrammingLand,211--215,,5.0,"CS educational research, blended education, distance education, online instruction",10.1145/1047344.1047421,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
967,1823,article,2424838,Erin  Friess,,,,Do Usability Evaluators Do What We Think Usability Evaluators Do?,9--13,,5.0,"decision-making, discourse analysis, ethnography, usability and user experience, user-center design",10.1145/2424837.2424838,Commun. Des. Q. Rev,March 2012,13,1,,March,2012.0,2166-1200,,,,,,ACM,"New York, NY, USA",computer science usability education
970,1827,article,971442,Debra T. Burhans and Gary R. Skuse,,,,The Role of Computer Science in Undergraduate Bioinformatics Education,417--421,,5.0,"bioinformatics education, curriculum development",10.1145/971300.971442,,,,,,,2004.0,,Proceedings of the 35th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '04,,1-58113-798-2,"Norfolk, Virginia, USA",ACM,"New York, NY, USA",computer science usability education
971,1828,article,971442,Debra T. Burhans and Gary R. Skuse,,,,The Role of Computer Science in Undergraduate Bioinformatics Education,417--421,,5.0,"bioinformatics education, curriculum development",10.1145/1028174.971442,SIGCSE Bull.,March 2004,36,1,,March,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
981,1848,article,2960321,Raina  Mason and   Simon and Graham  Cooper and Barry  Wilks,,,,Flipping the Assessment of Cognitive Load: Why and How,43--52,,10.0,"cognitive load theory, computing education, mobile apps, programming education",10.1145/2960310.2960321,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on International Computing Education Research,ICER '16,,978-1-4503-4449-4,"Melbourne, VIC, Australia",ACM,"New York, NY, USA",computer science usability education
984,1856,article,1822115,Erman  Y&#252;kselt&#252;rk and Adnan  Yazici and Ahmet  Sa&#231;an and &#214;zg&#252;r  Kaya,,,,Online Education Experiences: Information Technologies Certificate Program at METU,83--87,,5.0,"computer engineering education, online education, online information technologies certificate program",10.1145/1822090.1822115,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computer science usability education
987,1862,article,1508967,Susan H. Rodger and Jenna  Hayes and Gaetjens  Lezin and Henry  Qin and Deborah  Nelson and Ruth  Tucker and Mercedes  Lopez and Stephen  Cooper and Wanda  Dann and Don  Slater,,,,Engaging Middle School Teachers and Students with Alice in a Diverse Set of Subjects,271--275,,5.0,"alice, introductory computer science, k-12 education, middle school, under-represented groups, virtual worlds",10.1145/1539024.1508967,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
988,1863,article,1508967,Susan H. Rodger and Jenna  Hayes and Gaetjens  Lezin and Henry  Qin and Deborah  Nelson and Ruth  Tucker and Mercedes  Lopez and Stephen  Cooper and Wanda  Dann and Don  Slater,,,,Engaging Middle School Teachers and Students with Alice in a Diverse Set of Subjects,271--275,,5.0,"alice, introductory computer science, k-12 education, middle school, under-represented groups, virtual worlds",10.1145/1508865.1508967,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
992,1871,article,1352171,Yanqing  WANG and LI  Yijun and Michael  Collins and Peijie  LIU,,,,Process Improvement of Peer Code Review and Behavior Analysis of Its Participants,107--111,,5.0,"behavior analysis, computer science education, learning outcome, peer code review (pcr), software quality assurance (sqa)",10.1145/1352135.1352171,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science usability education
993,1872,article,1352171,Yanqing  WANG and LI  Yijun and Michael  Collins and Peijie  LIU,,,,Process Improvement of Peer Code Review and Behavior Analysis of Its Participants,107--111,,5.0,"behavior analysis, computer science education, learning outcome, peer code review (pcr), software quality assurance (sqa)",10.1145/1352322.1352171,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
999,1889,article,1047422,Amruth N. Kumar,,,,Results from the Evaluation of the Effectiveness of an Online Tutor on Expression Evaluation,216--220,,5.0,"computer science I, evaluation, expression, feedback, programming, tutor, visualization",10.1145/1047124.1047422,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1000,1890,article,1047422,Amruth N. Kumar,,,,Results from the Evaluation of the Effectiveness of an Online Tutor on Expression Evaluation,216--220,,5.0,"computer science I, evaluation, expression, feedback, programming, tutor, visualization",10.1145/1047344.1047422,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
1001,1891,article,331857,A. T. Chamillard and Kim A. Braun,,,,Evaluating Programming Ability in an Introductory Computer Science Course,212--216,,5.0,"collaborative learning, introductory computer science, programming ability, programming evaluation",10.1145/331795.331857,SIGCSE Bull.,Mar. 2000,32,1,,March,2000.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1002,1892,article,331857,A. T. Chamillard and Kim A. Braun,,,,Evaluating Programming Ability in an Introductory Computer Science Course,212--216,,5.0,"collaborative learning, introductory computer science, programming ability, programming evaluation",10.1145/330908.331857,,,,,,,2000.0,,Proceedings of the Thirty-first SIGCSE Technical Symposium on Computer Science Education,SIGCSE '00,,1-58113-213-1,"Austin, Texas, USA",ACM,"New York, NY, USA",computer science usability education
1022,1935,article,1041658,Victor  Matos and Becky  Grasser,,,,SQL-based Discovery of Exact and Approximate Functional Dependencies,58--63,,6.0,"SQL, computer and information science education, database management, functional dependencies, languages",10.1145/1041624.1041658,SIGCSE Bull.,December 2004,36,4,,June,2004.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1023,1936,article,1041658,Victor  Matos and Becky  Grasser,,,,SQL-based Discovery of Exact and Approximate Functional Dependencies,58--63,,6.0,"SQL, computer and information science education, database management, functional dependencies, languages",10.1145/1044550.1041658,,,,,,,2004.0,,Working Group Reports from ITiCSE on Innovation and Technology in Computer Science Education,ITiCSE-WGR '04,,,"Leeds, United Kingdom",ACM,"New York, NY, USA",computer science usability education
1024,1937,article,1067532,Brian  Hanks,,,,Student Performance in CS1 with Distributed Pair Programming,316--320,,5.0,"computer science education, distributed pair programming, empirical software engine ring, pair programming",10.1145/1151954.1067532,SIGCSE Bull.,September 2005,37,3,,June,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1025,1938,article,1067532,Brian  Hanks,,,,Student Performance in CS1 with Distributed Pair Programming,316--320,,5.0,"computer science education, distributed pair programming, empirical software engine ring, pair programming",10.1145/1067445.1067532,,,,,,,2005.0,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA",computer science usability education
1034,1952,article,1047508,Jason  Nieh and Chris  Vaill,,,,Experiences Teaching Operating Systems Using Virtual Platforms and Linux,520--524,,5.0,"computer science education, open-source software, operating systems, virtual machines, virtualization",10.1145/1047124.1047508,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1035,1953,article,1047508,Jason  Nieh and Chris  Vaill,,,,Experiences Teaching Operating Systems Using Virtual Platforms and Linux,520--524,,5.0,"computer science education, open-source software, operating systems, virtual machines, virtualization",10.1145/1047344.1047508,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
1040,1962,article,1345438,Ursula  Fuller and Colin G. Johnson and Tuukka  Ahoniemi and Diana  Cukierman and Isidoro  Hern&#225;n-Losada and Jana  Jackova and Essi  Lahtinen and Tracy L. Lewis and Donna McGee Thompson and Charles  Riedesel and Errol  Thompson,,,,Developing a Computer Science-specific Learning Taxonomy,152--170,,19.0,"assessment, benchmarking, computer science education, credit transfer, curricula, taxonomies of learning",10.1145/1345375.1345438,SIGCSE Bull.,December 2007,39,4,,December,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1041,1963,article,1345438,Ursula  Fuller and Colin G. Johnson and Tuukka  Ahoniemi and Diana  Cukierman and Isidoro  Hern&#225;n-Losada and Jana  Jackova and Essi  Lahtinen and Tracy L. Lewis and Donna McGee Thompson and Charles  Riedesel and Errol  Thompson,,,,Developing a Computer Science-specific Learning Taxonomy,152--170,,19.0,"assessment, benchmarking, computer science education, credit transfer, curricula, taxonomies of learning",10.1145/1345443.1345438,,,,,,,2007.0,,Working Group Reports on ITiCSE on Innovation and Technology in Computer Science Education,ITiCSE-WGR '07,,,"Dundee, Scotland",ACM,"New York, NY, USA",computer science usability education
1043,1965,article,1508872,Maureen  Biggers and Tuba  Yilmaz and Monica  Sweat,,,,"Using Collaborative, Modified Peer Led Team Learning to Improve Student Success and Retention in Intro Cs",9--13,,5.0,"collaborative learning, computer science education, cs 1/2, peer led team learning, retention, student success",10.1145/1508865.1508872,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
1044,1966,article,1508872,Maureen  Biggers and Tuba  Yilmaz and Monica  Sweat,,,,"Using Collaborative, Modified Peer Led Team Learning to Improve Student Success and Retention in Intro Cs",9--13,,5.0,"collaborative learning, computer science education, cs 1/2, peer led team learning, retention, student success",10.1145/1539024.1508872,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1055,1989,article,1047460,Barbara  Ericson and Mark  Guzdial and Maureen  Biggers,,,,A Model for Improving Secondary CS Education,332--336,,5.0,"advanced placement (AP), computer science education, state and university partnerships, teacher training",10.1145/1047124.1047460,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1056,1990,article,1047460,Barbara  Ericson and Mark  Guzdial and Maureen  Biggers,,,,A Model for Improving Secondary CS Education,332--336,,5.0,"advanced placement (AP), computer science education, state and university partnerships, teacher training",10.1145/1047344.1047460,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
1060,2005,article,1509050,Chi-Cheng  Lin and Mingrui  Zhang and Barbara  Beck and Gayle  Olsen,,,,Embedding Computer Science Concepts in K-12 Science Curricula,539--543,,5.0,"bioinformatics, interdisciplinary, k-12 science curriculum, outreach",10.1145/1508865.1509050,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science usability education
1061,2006,article,1509050,Chi-Cheng  Lin and Mingrui  Zhang and Barbara  Beck and Gayle  Olsen,,,,Embedding Computer Science Concepts in K-12 Science Curricula,539--543,,5.0,"bioinformatics, interdisciplinary, k-12 science curriculum, outreach",10.1145/1539024.1509050,SIGCSE Bull.,March 2009,41,1,,March,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1065,2012,article,1047461,Alasdair  McAndrew and Anne  Venables,,,,A Secondary Look at Digital Image Processing,337--341,,5.0,"digital image processing, elementary computer science, enquiry-based learning, secondary education",10.1145/1047124.1047461,SIGCSE Bull.,2005,37,1,,February,2005.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1066,2013,article,1047461,Alasdair  McAndrew and Anne  Venables,,,,A Secondary Look at Digital Image Processing,337--341,,5.0,"digital image processing, elementary computer science, enquiry-based learning, secondary education",10.1145/1047344.1047461,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
1077,2025,article,1121391,Amy B. Woszczynski,,,,CyberTech I: Online Introduction to Computer Science Course for High School Students,153--157,,5.0,"CS0, distance education, diversity in CS, high school students, introductory computer science course",10.1145/1124706.1121391,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
1078,2026,article,1121391,Amy B. Woszczynski,,,,CyberTech I: Online Introduction to Computer Science Course for High School Students,153--157,,5.0,"CS0, distance education, diversity in CS, high school students, introductory computer science course",10.1145/1121341.1121391,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science usability education
