,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
70,article,1181299,Ari R. TenCate,,,,Expanding the Boundaries Through the Use of Technology in Informal Learning Spaces,387--392,,6.0,"advanced technology, general access labs, help desk, learning spaces",10.1145/1181216.1181299,,,,,,,2006.0,,Proceedings of the 34th  Annual ACM SIGUCCS Fall Conference: Expanding the Boundaries,SIGUCCS '06,,1-59593-438-3,"Edmonton, Alberta, Canada",ACM,"New York, NY, USA",information technology accessibility education
71,article,1125202,Lynette  Kvasny and Fay Cobb Payton and Jing  Chong and Victor  Mbarika,,,,Information Technology Education and Employment for Women in Kenya,114--119,,6.0,"education, gender, information technology workforce",10.1145/1125170.1125202,,,,,,,2006.0,,"Proceedings of the 2006 ACM SIGMIS CPR Conference on Computer Personnel Research: Forty Four Years of Computer Personnel Research: Achievements, Challenges &Amp; the Future",SIGMIS CPR '06,,1-59593-349-2,"Claremont, California, USA",ACM,"New York, NY, USA",information technology accessibility education
73,article,354976,Janice K. Tulloss,,,,Implementing Assistive Technology: Opportunities and Challenges,306--310,,5.0,"accessibility, assistive technology, handicapped access",10.1145/354908.354976,,,,,,,2000.0,,Proceedings of the 28th Annual ACM SIGUCCS Conference on User Services: Building the Future,SIGUCCS '00,,1-58113-229-8,"Richmond, Virginia, USA",ACM,"New York, NY, USA",information technology accessibility education
74,article,3022000,Edmir P.V. Prado and Eunice Almeida Silva,,,,Risk Assessment of Pregnant Women Access to Basic Healthcare Units,35:263--35:270,35.0,8.0,"Collective Health, Information Technology, Risk Analysis",,,,,,,,2016.0,,Proceedings of the XII Brazilian Symposium on Information Systems on Brazilian Symposium on Information Systems: Information Systems in the Cloud Computing Era - Volume 1,SBSI 2016,,978-85-7669-317-8,"Florianopolis, Santa Catarina, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",information technology accessibility education
77,article,2808032,Russell  McMahon,,,,The Challenges of Information and Communications Technology Education in Sub-Saharan Africa,89--94,,6.0,"information and communications technology education, information technology education, teaching challenges",10.1145/2808006.2808032,,,,,,,2015.0,,Proceedings of the 16th Annual Conference on Information Technology Education,SIGITE '15,,978-1-4503-3835-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",information technology accessibility education
79,article,2667488,Nicholas  Vanderschantz and Annika  Hinze and Sally Jo Cunningham,,,,Current Educational Technology Use for Digital Information Acquisition by Young New Zealand Children,125--134,,10.0,"ICT, children's technology, mobile information search",,,,,,,,2014.0,,Proceedings of the Thirty-Seventh Australasian Computer Science Conference - Volume 147,ACSC '14,,978-1-921770-30-2,"Auckland, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",information technology accessibility education
2,article,1012634,  Software Engineering Notes Staff,,,,Proceedings of the ACM Ada TEC Future Ada Environment Workshop,77--117,,41.0,,10.1145/1012621.1012634,SIGSOFT Softw. Eng. Notes,April 1985,10,2,,April,1985.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
6,article,1010902,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,75--79,,5.0,,10.1145/1010891.1010902,SIGSOFT Softw. Eng. Notes,July 1983,8,3,,July,1983.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
7,article,1010732,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering: Part 3,24--28,,5.0,,10.1145/1010730.1010732,SIGSOFT Softw. Eng. Notes,July 1977,2,4,,July,1977.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
9,article,1012344,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,62--66,,5.0,,10.1145/1012339.1012344,SIGSOFT Softw. Eng. Notes,July 1984,9,4,,July,1984.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
12,article,1010739,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering: Part 5,28--32,,5.0,,10.1145/1010734.1010739,SIGSOFT Softw. Eng. Notes,January 1978,3,1,,January,1978.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
13,article,1010790,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,39--44,,6.0,,10.1145/1010782.1010790,SIGSOFT Softw. Eng. Notes,January 1980,5,1,,January,1980.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
16,article,1010724,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering: Part 2,6--14,,9.0,,10.1145/1010723.1010724,SIGSOFT Softw. Eng. Notes,January 1977,2,1,,January,1977.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
17,article,1010923,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,49--54,,6.0,,10.1145/1010914.1010923,SIGSOFT Softw. Eng. Notes,October 1983,8,5,,October,1983.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
20,article,1012452,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,74--81,,8.0,,10.1145/1012443.1012452,SIGSOFT Softw. Eng. Notes,January 1985,10,1,,January,1985.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
22,article,1010682,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,9--32,,24.0,,10.1145/1010680.1010682,SIGSOFT Softw. Eng. Notes,October 1976,1,2,,October,1976.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
23,article,1012635,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,118--125,,8.0,,10.1145/1012621.1012635,SIGSOFT Softw. Eng. Notes,April 1985,10,2,,April,1985.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
24,article,1010952,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,90--94,,5.0,,10.1145/1010941.1010952,SIGSOFT Softw. Eng. Notes,October 1984,9,5,,October,1984.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
26,article,1012495,  Software Engineering Notes Staff,,,,Abstracts in Software Engineering,109--117,,9.0,,10.1145/1012483.1012495,SIGSOFT Softw. Eng. Notes,July 1985,10,3,,July,1985.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
29,article,979745,  ACM SIGSOFT Software Engineering Notes staff,,,,Back Matter (Abstracts and Calendar),27--62,,36.0,,10.1145/979743.979745,SIGSOFT Softw. Eng. Notes,March 2004,29,2,,March,2004.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
30,article,773128,  ACM SIGSOFT Software Engineering Notes staff,,,,Back Matter,22--37,,16.0,,10.1145/773126.773128,SIGSOFT Softw. Eng. Notes,May 2003,28,3,,May,2003.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
32,article,986712,  ACM SIGSOFT Software Engineering Notes staff,,,,Backmatter (Abstracts and Calendar),31--37,,7.0,,10.1145/986710.986712,SIGSOFT Softw. Eng. Notes,May 2004,29,3,,May,2004.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
35,article,2408748,  Polyhedron Software,,,,Fortran Compiler Comparisons Diagnostic Capabilities,7--16,,10.0,,10.1145/2408747.2408748,SIGPLAN Fortran Forum,December 2012,31,3,,December,2012.0,1061-7264,,,,,,ACM,"New York, NY, USA",information technology usability education
47,article,2414537,Elin  Abdul Rahim and Andreas  Duenser and Mark  Billinghurst and Alfred  Herritsch and Keith  Unsworth and Alan  Mckinnon and Peter  Gostomski,,,,A Desktop Virtual Reality Application for Chemical and Process Engineering Education,1--8,,8.0,"educational software, engineering, evaluation, usability, virtual reality",10.1145/2414536.2414537,,,,,,,2012.0,,Proceedings of the 24th Australian Computer-Human Interaction Conference,OzCHI '12,,978-1-4503-1438-1,"Melbourne, Australia",ACM,"New York, NY, USA",information technology usability education
48,article,62168,CORPORATE Inc. Software Productivity Solutions,,,,Naval Avionics Center Ada-based Design Languages Workshop Summary of Events,104--118,,15.0,,10.1145/62162.62168,Ada Lett.,July/Aug. 1988,VIII,4,,July,1988.0,1094-3641,,,,,,ACM,"New York, NY, USA",information technology usability education
52,article,882242,ACM SIGSOFT Software Engineering Notes staff,,,,Back Matter,38--48,,11.0,,10.1145/882240.882242,SIGSOFT Softw. Eng. Notes,July 2003,28,4,,July,2003.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
56,article,2538955,Daniel E. Krutz and Samuel A. Malachowsky and Thomas  Reichlmayr,,,,Using a Real World Project in a Software Testing Course,49--54,,6.0,"software engineering education, software project, software testing",10.1145/2538862.2538955,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",information technology usability education
61,article,947162,Evelyn P. Rozanski and Anne R. Haake,,,,The Many Facets of HCI,180--185,,6.0,"design methods, human-computer interaction, ubiquitous computing, usability, usability engineering",10.1145/947121.947162,,,,,,,2003.0,,Proceedings of the 4th Conference on Information Technology Curriculum,CITC4 '03,,1-58113-770-2,"Lafayette, Indiana, USA",ACM,"New York, NY, USA",information technology usability education
62,article,3105550,Marcello  Missiroli and Daniel  Russo and Paolo  Ciancarini,,,,Agile for Millennials: A Comparative Study,47--53,,7.0,"K-12 education, scrum, software engineering education, waterfall",10.1109/SECM.2017.7,,,,,,,2017.0,,Proceedings of the 1st International Workshop on Software Engineering Curricula for Millennials,SECM '17,,978-1-5386-2795-2,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",information technology usability education
63,article,2336736,Deborah  Richards and Iwan  Kelaiah,,,,Usability Attributes in Virtual Learning Environments,9:1--9:10,9.0,10.0,"education, usability attributes, virtual worlds",10.1145/2336727.2336736,,,,,,,2012.0,,Proceedings of The 8th Australasian Conference on Interactive Entertainment: Playing the System,IE '12,,978-1-4503-1410-7,"Auckland, New Zealand",ACM,"New York, NY, USA",information technology usability education
64,article,1879216,Emerson  Murphy-Hill and Andrew P. Black,,,,An Interactive Ambient Visualization for Code Smells,5--14,,10.0,"code smells, refactoring, software, usability",10.1145/1879211.1879216,,,,,,,2010.0,,Proceedings of the 5th International Symposium on Software Visualization,SOFTVIS '10,,978-1-4503-0028-5,"Salt Lake City, Utah, USA",ACM,"New York, NY, USA",information technology usability education
66,article,3019961,Emmanuelle Guti&#233;rrez y Restrepo and Francisco Garc&#237;a Garc&#237;a,,,,Nonintrusive Accessibility in Inclusive Higher Education,119--126,,8.0,"Accessibility, e-learning, multimedia, nonintrusive accessibility, search engine optimization, usability",10.1145/3019943.3019961,,,,,,,2016.0,,Proceedings of the 7th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-exclusion,DSAI 2016,,978-1-4503-4748-8,"Vila Real, Portugal",ACM,"New York, NY, USA",information technology usability education
68,article,1047513,"James B. Fenwick,Jr. and Barry L. Kurtz",,,,Intra-curriculum Software Engineering Education,540--544,,5.0,"pedagogy, software engineering education",10.1145/1047344.1047513,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",information technology usability education
69,article,2899459,Ma&#237;ra  Marques and Sergio F. Ochoa and Mar&#237;a Cecilia  Bastarrica,,,,Software Engineering Education in Chile - Status Report,180--185,,6.0,"chile, software engineering education",10.1145/2899415.2899459,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '16,,978-1-4503-4231-5,"Arequipa, Peru",ACM,"New York, NY, USA",information technology usability education
72,article,2371332,Klaus  Bothe and Zoran  Putnik and Betim  &#199;i&#231;o,,,,International Educational Cooperation: One Possible Model,76--81,,6.0,"educational cooperation, software engineering",10.1145/2371316.2371332,,,,,,,2012.0,,Proceedings of the Fifth Balkan Conference in Informatics,BCI '12,,978-1-4503-1240-0,"Novi Sad, Serbia",ACM,"New York, NY, USA",information technology usability education
73,article,882248,J. Barrie Thompson and Helen M. Edwards,,,,"Report on the 2Nd International Summit on Software Engineering Education, Co-located with ICSE2003",21--26,,6.0,"education, software engineering curriculum",10.1145/882240.882248,SIGSOFT Softw. Eng. Notes,July 2003,28,4,,July,2003.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
74,article,1839601,Leigh Ann  Sudol and Ciera  Jaspan,,,,Analyzing the Strength of Undergraduate Misconceptions About Software Engineering,31--40,,10.0,"misconceptions, software engineering education",10.1145/1839594.1839601,,,,,,,2010.0,,Proceedings of the Sixth International Workshop on Computing Education Research,ICER '10,,978-1-4503-0257-9,"Aarhus, Denmark",ACM,"New York, NY, USA",information technology usability education
82,article,2180930,Rakesh  Shukla and Ashish  Sureka and Rushikesh  Joshi and Rajib  Mall,,,,A Report on Software Engineering Education Workshop,26--31,,6.0,software engineering education,10.1145/180921.2180930,SIGSOFT Softw. Eng. Notes,May 2012,37,3,,May,2012.0,0163-5948,,,,,,ACM,"New York, NY, USA",information technology usability education
84,article,974050,Robert F. Dugan,,,,Performance Lies My Professor Told Me: The Case for Teaching Software Performance Engineering to Undergraduates,37--48,,12.0,"education, performance, software engineering",10.1145/974044.974050,,,,,,,2004.0,,Proceedings of the 4th International Workshop on Software and Performance,WOSP '04,,1-58113-673-0,"Redwood Shores, California",ACM,"New York, NY, USA",information technology usability education
88,article,3131187,Marcelo H. Yamaguti and Fl&#225;vio M. de Oliveira and C&#225;ssio A. W. Trindade and Alessandra C. S. Dutra,,,,AGES: An Interdisciplinary Space Based on Projects for Software Engineering Learning,368--373,,6.0,"Software Engineering, education",10.1145/3131151.3131187,,,,,,,2017.0,,Proceedings of the 31st Brazilian Symposium on Software Engineering,SBES'17,,978-1-4503-5326-7,"Fortaleza, CE, Brazil",ACM,"New York, NY, USA",information technology usability education
89,article,2846681,David  Pritchard,,,,Frequency Distribution of Error Messages,1--8,,8.0,"Error messages, education, empirical analysis, usability",10.1145/2846680.2846681,,,,,,,2015.0,,Proceedings of the 6th Workshop on Evaluation and Usability of Programming Languages and Tools,PLATEAU 2015,,978-1-4503-3907-0,"Pittsburgh, PA, USA",ACM,"New York, NY, USA",information technology usability education
92,article,2667082,Lydia  Schneidewind and Stephan  H&#246;rold and Cindy  Mayas and Heidi  Kr&#246;mker and Sascha  Falke and Tony  Pucklitsch,,,,How Personas Support Requirements Engineering,1--5,,5.0,"persona technique, requirements engineering, software engineering",,,,,,,,2012.0,,Proceedings of the First International Workshop on Usability and Accessibility Focused Requirements Engineering,UsARE '12,,978-1-4673-1846-4,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA",information technology usability education
94,article,3101408,M. S. Roopa and C.  Sankarasubbiah and V. S. Mani,,,,Usable Software at the End of Each Takt: A Milestone in the Lean Transformation of a Globally Distributed Software Development Team,116--120,,5.0,"global software engineering, lean, usable software",10.1109/ICGSE.2017.9,,,,,,,2017.0,,Proceedings of the 12th International Conference on Global Software Engineering,ICGSE '17,,978-1-5386-1587-4,"Buenos Aires, Argentina",IEEE Press,"Piscataway, NJ, USA",information technology usability education
95,article,803190,Peter  Freeman and Anthony I. Wasserman,,,,A Proposed Curriculum for Software Engineering Education,56--62,,7.0,"Curricula, Education, Software engineering",,,,,,,,1978.0,,Proceedings of the 3rd International Conference on Software Engineering,ICSE '78,,,"Atlanta, Georgia, USA",IEEE Press,"Piscataway, NJ, USA",information technology usability education
97,article,2421282,Birgit  Penzenstadler and Veronika  Bauer,,,,Jumpstart Sustainability in Seminars: Hands-on Experiences in Class,37--44,,8.0,"education, requirements, software engineering, sustainability",10.1145/2421277.2421282,,,,,,,2012.0,,Proceedings of Second Computer Science Education Research Conference,CSERC '12,,978-1-4503-1858-7,"Wroclaw, Poland",ACM,"New York, NY, USA",information technology usability education
98,article,1953207,Sriram  Mohan and Stephen  Chenoweth,,,,Teaching Requirements Engineering to Undergraduate Students,141--146,,6.0,"curriculum, education, requirements, software engineering",10.1145/1953163.1953207,,,,,,,2011.0,,Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education,SIGCSE '11,,978-1-4503-0500-6,"Dallas, TX, USA",ACM,"New York, NY, USA",information technology usability education
102,article,2254452,Isaias Horta Brazil and Wander Antunes Gaspar Valente,,,,Usabilidade e Carga De Trabalho: Um Estudo De Caso Para a Preven\c{C}\~{A}O De Doen\c{C}As Ocupacionais Em Inform\'{A}Tica,71--80,,10.0,"HCI, ergonomics, usability engineering",,,,,,,,2011.0,,Proceedings of the 10th Brazilian Symposium on Human Factors in Computing Systems and the 5th Latin American Conference on Human-Computer Interaction,IHC+CLIHC '11,,978-85-7669-257-7,"Porto de Galinhas, Pernambuco, Brazil",Brazilian Computer Society,"Porto Alegre, Brazil, Brazil",information technology usability education
104,article,1570437,Bonnie E. John and Len  Bass and Elspeth  Golden and Pia  Stoll,,,,A Responsibility-based Pattern Language for Usability-supporting Architectural Patterns,3--12,,10.0,"software architecture, usability",10.1145/1570433.1570437,,,,,,,2009.0,,Proceedings of the 1st ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '09,,978-1-60558-600-7,"Pittsburgh, PA, USA",ACM,"New York, NY, USA",information technology usability education
105,article,1411736,Holger  Gast,,,,Patterns and Traceability in Teaching Software Architecture,23--31,,9.0,"software architecture, software engineering education",10.1145/1411732.1411736,,,,,,,2008.0,,Proceedings of the 6th International Symposium on Principles and Practice of Programming in Java,PPPJ '08,,978-1-60558-223-8,"Modena, Italy",ACM,"New York, NY, USA",information technology usability education
110,article,1047441,Karen L. Reid and Gregory V. Wilson,,,,Learning by Doing: Introducing Version Control As a Way to Manage Student Assignments,272--276,,5.0,"education, software engineering, software tools, version control",10.1145/1047344.1047441,,,,,,,2005.0,,Proceedings of the 36th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '05,,1-58113-997-7,"St. Louis, Missouri, USA",ACM,"New York, NY, USA",information technology usability education
112,article,1140202,Dragutin  Petkovic and Gary  Thompson and Rainer  Todtenhoefer,,,,Teaching Practical Software Engineering and Global Software Engineering: Evaluation and Comparison,294--298,,5.0,"global software engineering, software engineering, software engineering education",10.1145/1140123.1140202,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",information technology usability education
13,article,1566499,Jennifer  Parham and Donald  Chinn and D. E. Stevenson,,,,Using Bloom's Taxonomy to Code Verbal Protocols of Students Solving a Data Structure Problem,39:1--39:6,39.0,6.0,"Bloom's taxonomy, computer science education, problem solving",10.1145/1566445.1566499,,,,,,,2009.0,,Proceedings of the 47th Annual Southeast Regional Conference,ACM-SE 47,,978-1-60558-421-8,"Clemson, South Carolina",ACM,"New York, NY, USA",computer science education theory
16,article,979970,Wayne  Brookes,,,,Computing Theory with Relevance,9--13,,5.0,"XML, computer science education, computing theory",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science education theory
18,article,1047892,Carol L. Blinkerd and Chandrika  Rao,,,,Making DBMS Relevant to Non-majors,302--307,,6.0,"GIS, non-computer science majors, relational database",,J. Comput. Sci. Coll.,April 2005,20,4,,April,2005.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science education theory
19,article,2538910,Claudia  Szabo and Katrina  Falkner,,,,Neo-piagetian Theory As a Guide to Curriculum Analysis,115--120,,6.0,"computer science education, curriculum mapping",10.1145/2538862.2538910,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science education theory
21,article,1227439,Darren  Lim,,,,Taking Students out for a Ride: Using a Board Game to Teach Graph Theory,367--371,,5.0,"computer science education, games, graph theory",10.1145/1227310.1227439,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science education theory
24,article,2538971,Claudia  Szabo,,,,Evaluating GameDevTycoon for Teaching Software Engineering,403--408,,6.0,"computer science education, software engineering",10.1145/2538862.2538971,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science education theory
26,article,544461,Orit  Hazzan,,,,Reducing Abstraction Level when Learning Computability Theory Concepts,156--160,,5.0,"abstraction, computability, computer science education, mental processes",10.1145/544414.544461,,,,,,,2002.0,,Proceedings of the 7th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '02,,1-58113-499-1,"Aarhus, Denmark",ACM,"New York, NY, USA",computer science education theory
27,article,2999545,Outi  Laiti,,,,The Ethnoprogramming Model,150--154,,5.0,"computer science education, ethnocomputing, ethnoprogramming",10.1145/2999541.2999545,,,,,,,2016.0,,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,Koli Calling '16,,978-1-4503-4770-9,"Koli, Finland",ACM,"New York, NY, USA",computer science education theory
28,article,2899455,Ilias O. Pappas and Michail N. Giannakos and Letizia  Jaccheri,,,,Investigating Factors Influencing Students' Intention to Dropout Computer Science Studies,198--203,,6.0,"computer science education, dropout, higher education., retention",10.1145/2899415.2899455,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '16,,978-1-4503-4231-5,"Arequipa, Peru",ACM,"New York, NY, USA",computer science education theory
29,article,2616569,Ivan  Babic and Aaron  Weeden and Mobeen  Ludin and Skylar  Thompson and Charles  Peck and Kristin  Muterspaw and Andrew Fitz Gibbon and Jennifer  Houchins and Tom  Murphy,,,,LittleFe and BCCD As a Successful On-ramp to HPC,73:1--73:7,73.0,7.0,"CS, DES, Education, HPC, cluster computing, curriculum, data-enabled science, graduate students, high-performance computing, outreach, parallel programming, scientific computing, undergraduate faculty, undergraduate students",10.1145/2616498.2616569,,,,,,,2014.0,,Proceedings of the 2014 Annual Conference on Extreme Science and Engineering Discovery Environment,XSEDE '14,,978-1-4503-2893-7,"Atlanta, GA, USA",ACM,"New York, NY, USA",computer science education theory
30,article,2532751,Ben  Gibson and Tim  Bell,,,,Evaluation of Games for Teaching Computer Science,51--60,,10.0,"computer science education, educational games, play",10.1145/2532748.2532751,,,,,,,2013.0,,Proceedings of the 8th Workshop in Primary and Secondary Computing Education,WiPSE '13,,978-1-4503-2455-7,"Aarhus, Denmark",ACM,"New York, NY, USA",computer science education theory
32,article,3084324,Chris  Proctor and Paulo  Blikstein,,,,Interactive Fiction: Weaving Together Literacies of Text and Code,555--560,,6.0,"computational literacy, computer science education, sociocultural learning theory, sociolinguistics",10.1145/3078072.3084324,,,,,,,2017.0,,Proceedings of the 2017 Conference on Interaction Design and Children,IDC '17,,978-1-4503-4921-5,"Stanford, California, USA",ACM,"New York, NY, USA",computer science education theory
35,article,1509024,Geoffrey M. Draper and Robert R. Kessler and Richard F. Riesenfeld,,,,A History of Computing Course with a Technical Focus,458--462,,5.0,"computer science education, history of computing",10.1145/1508865.1509024,,,,,,,2009.0,,Proceedings of the 40th ACM Technical Symposium on Computer Science Education,SIGCSE '09,,978-1-60558-183-5,"Chattanooga, TN, USA",ACM,"New York, NY, USA",computer science education theory
36,article,3017763,Shelly  Engelman and Brian  Magerko and Tom  McKlin and Morgan  Miller and Doug  Edwards and Jason  Freeman,,,,Creativity in Authentic STEAM Education with EarSketch,183--188,,6.0,"computer science education, creativity, earsketch, steam education",10.1145/3017680.3017763,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science education theory
38,article,2538925,Fredrik  Heintz and Inger  Erlander Klein,,,,The Design of Sweden's First 5-year Computer Science and Software Engineering Program,199--204,,6.0,"computational thinking, computer science education, software engineering",10.1145/2538862.2538925,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science education theory
39,article,2674691,Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner,,,,Experiences in Course Design Using Neo-piagetian Theory,81--90,,10.0,"computer science education, course design, neo-piaget",10.1145/2674683.2674691,,,,,,,2014.0,,Proceedings of the 14th Koli Calling International Conference on Computing Education Research,Koli Calling '14,,978-1-4503-3065-7,"Koli, Finland",ACM,"New York, NY, USA",computer science education theory
42,article,2853199,Neena  Thota and Anders  Berglund,,,,Learning Computer Science: Dimensions of Variation Within What Chinese Students Learn,10:1--10:27,10.0,27.0,"Computer science education, context, phenomenography, qualitative research, variation theory",10.1145/2853199,Trans. Comput. Educ.,June 2016,16,3,,May,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education theory
48,article,1047882,John E. Howland,,,,Array Algorithms,229--235,,7.0,"array algorithms, computer science curriculum, computer science education",,J. Comput. Sci. Coll.,April 2005,20,4,,April,2005.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science education theory
49,article,3017801,David  Ginat and Yoav  Blau,,,,Multiple Levels of Abstraction in Algorithmic Problem Solving,237--242,,6.0,"abstraction, algorithm design",10.1145/3017680.3017801,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science education theory
50,article,2983524,Antti  Knutas and Antti  Herala and Erno  Vanhala and Jouni  Ikonen,,,,The Flipped Classroom Method: Lessons Learned from Flipping Two Programming Courses,423--430,,8.0,"Flipped classroom, computer science education, computer-supported education, programming",10.1145/2983468.2983524,,,,,,,2016.0,,Proceedings of the 17th International Conference on Computer Systems and Technologies 2016,CompSysTech '16,,978-1-4503-4182-0,"Palermo, Italy",ACM,"New York, NY, USA",computer science education theory
55,article,3018109,Emma  Enstr&#246;m and Viggo  Kann,,,,Iteratively Intervening with the &Ldquo;Most Difficult&Rdquo; Topics of an Algorithms and Complexity Course,4:1--4:38,4.0,38.0,"Algorithm visualization, NP-completeness, assessment, dynamic programming, pattern-oriented instruction, proofs, self-efficacy",10.1145/3018109,Trans. Comput. Educ.,January 2017,17,1,,January,2017.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education theory
56,article,3106171,Holger  Danielsiek and Laura  Toma and Jan  Vahrenhold,,,,An Instrument to Assess Self-Efficacy in Introductory Algorithms Courses,217--225,,9.0,"algorithms, computer science education, self-efficacy",10.1145/3105726.3106171,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on International Computing Education Research,ICER '17,,978-1-4503-4968-0,"Tacoma, Washington, USA",ACM,"New York, NY, USA",computer science education theory
59,article,2325373,Barry  Fagin and Dino  Schweitzer,,,,MyTuringTable: A Teaching Tool to Accompany Turing's Original Paper on Computability,333--338,,6.0,"computer science education, educational software, history of computing, turing machines",10.1145/2325296.2325373,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computer science education theory
61,article,1121366,Thomas J. Cortina and Richard  McKenna,,,,The Design of a History of Computing Course with a Unique Perspective,67--71,,5.0,"computer science education, history of computing",10.1145/1124706.1121366,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education theory
